Date,Open,High,Low,Close,Adj Close,Volume
11/10/1981,0.328125,0.330357,0.328125,0.328125,0.269455,4188800
11/11/1981,0.337054,0.339286,0.337054,0.337054,0.276788,6860000
11/12/1981,0.348214,0.350446,0.348214,0.348214,0.285953,9979200
11/13/1981,0.325893,0.325893,0.323661,0.323661,0.26579,5252800
11/16/1981,0.321429,0.321429,0.319196,0.319196,0.262124,5639200
11/17/1981,0.325893,0.328125,0.325893,0.325893,0.267622,8853600
11/18/1981,0.337054,0.339286,0.337054,0.337054,0.276788,7285600
11/19/1981,0.337054,0.339286,0.337054,0.337054,0.276788,10001600
11/20/1981,0.339286,0.341518,0.339286,0.339286,0.278621,9525600
11/23/1981,0.328125,0.328125,0.323661,0.323661,0.26579,5740000
11/24/1981,0.323661,0.323661,0.321429,0.321429,0.263956,5538400
11/25/1981,0.328125,0.330357,0.328125,0.328125,0.269455,13137600
11/27/1981,0.337054,0.339286,0.337054,0.337054,0.276788,9312800
11/30/1981,0.334821,0.334821,0.332589,0.332589,0.273122,5992000
12/1/1981,0.332589,0.334821,0.332589,0.332589,0.273122,5846400
12/2/1981,0.334821,0.337054,0.334821,0.334821,0.274955,9391200
12/3/1981,0.332589,0.332589,0.330357,0.330357,0.271289,5107200
12/4/1981,0.339286,0.341518,0.339286,0.339286,0.278621,34288800
12/7/1981,0.341518,0.34375,0.341518,0.341518,0.280454,14823200
12/8/1981,0.339286,0.339286,0.334821,0.334821,0.274955,12656000
12/9/1981,0.337054,0.339286,0.337054,0.337054,0.276788,8568000
12/10/1981,0.337054,0.339286,0.337054,0.337054,0.276788,9352000
12/11/1981,0.337054,0.339286,0.334821,0.334821,0.274955,19023200
12/14/1981,0.328125,0.328125,0.323661,0.323661,0.26579,6311200
12/15/1981,0.332589,0.334821,0.332589,0.332589,0.273122,7828800
12/16/1981,0.348214,0.350446,0.348214,0.348214,0.285953,16363200
12/17/1981,0.377232,0.379464,0.377232,0.377232,0.309782,12863200
12/18/1981,0.408482,0.410714,0.408482,0.408482,0.335445,17931200
